"";"Subject";"Contingency";"Block";"Condition";"SoundID";"Correctness"
"1257";2;5;4;1;2;TRUE
"1276";2;5;5;1;6;TRUE
"1279";2;5;5;1;3;FALSE
"1282";2;5;5;1;2;TRUE
"1285";2;5;5;1;1;TRUE
"1288";2;5;5;1;8;TRUE
"1291";2;5;5;1;4;TRUE
"1310";2;5;6;1;8;TRUE
"1313";2;5;6;1;1;TRUE
"1316";2;5;6;1;2;NA
"1319";2;5;6;1;6;TRUE
"1322";2;5;6;1;4;TRUE
"1325";2;5;6;1;7;FALSE
"1343";2;5;7;1;8;FALSE
"1346";2;5;7;1;3;TRUE
"1349";2;5;7;1;6;TRUE
"1352";2;5;7;1;2;TRUE
"1355";2;5;7;1;1;TRUE
"1358";2;5;7;1;4;FALSE
"1378";2;6;1;2;7;NA
"1384";2;6;1;2;1;NA
"1387";2;6;1;2;6;TRUE
"1390";2;6;1;2;4;TRUE
"1411";2;6;2;2;1;NA
"1414";2;6;2;2;3;TRUE
"1417";2;6;2;2;8;TRUE
"1420";2;6;2;2;5;FALSE
"1423";2;6;2;2;2;NA
"1426";2;6;2;2;7;TRUE
"1443";2;6;3;2;2;FALSE
"1446";2;6;3;2;5;NA
"1449";2;6;3;2;3;NA
"1452";2;6;3;2;8;NA
"1455";2;6;3;2;7;TRUE
"1458";2;6;3;2;1;NA
"1476";2;6;4;2;6;NA
"1479";2;6;4;2;1;NA
"1482";2;6;4;2;4;NA
"1485";2;6;4;2;5;NA
"1488";2;6;4;2;3;NA
"1491";2;6;4;2;2;TRUE
"1510";2;6;5;2;6;FALSE
"1513";2;6;5;2;3;TRUE
"1516";2;6;5;2;2;TRUE
"1519";2;6;5;2;1;TRUE
"1522";2;6;5;2;8;TRUE
"1525";2;6;5;2;4;TRUE
"1543";2;6;6;2;8;NA
"1546";2;6;6;2;1;NA
"1549";2;6;6;2;2;NA
"1552";2;6;6;2;6;NA
"1555";2;6;6;2;4;FALSE
"1558";2;6;6;2;7;TRUE
"1577";2;6;7;2;8;FALSE
"1580";2;6;7;2;3;TRUE
"1583";2;6;7;2;6;TRUE
"1586";2;6;7;2;2;FALSE
"1589";2;6;7;2;1;TRUE
"1592";2;6;7;2;4;FALSE
"1613";2;7;1;1;7;NA
"1619";2;7;1;1;1;TRUE
"1622";2;7;1;1;6;NA
"1625";2;7;1;1;4;TRUE
"1645";2;7;2;1;1;TRUE
"1648";2;7;2;1;3;TRUE
"1657";2;7;2;1;2;FALSE
"1660";2;7;2;1;7;TRUE
"1680";2;7;3;1;2;TRUE
"1686";2;7;3;1;3;FALSE
"1692";2;7;3;1;7;TRUE
"1695";2;7;3;1;1;TRUE
"1716";2;7;4;1;6;TRUE
"1719";2;7;4;1;1;FALSE
"1722";2;7;4;1;4;TRUE
"1728";2;7;4;1;3;TRUE
"1731";2;7;4;1;2;TRUE
"1750";2;7;5;1;6;FALSE
"1753";2;7;5;1;3;TRUE
"1756";2;7;5;1;2;TRUE
"1759";2;7;5;1;1;FALSE
"1762";2;7;5;1;8;TRUE
"1765";2;7;5;1;4;NA
"1782";2;7;6;1;8;NA
"1785";2;7;6;1;1;TRUE
"1788";2;7;6;1;2;FALSE
"1791";2;7;6;1;6;FALSE
"1794";2;7;6;1;4;TRUE
"1797";2;7;6;1;7;FALSE
"1817";2;7;7;1;8;NA
"1820";2;7;7;1;3;NA
"1823";2;7;7;1;6;NA
"1826";2;7;7;1;2;NA
"1829";2;7;7;1;1;NA
"1832";2;7;7;1;4;TRUE
"1855";2;8;1;2;8;TRUE
"1867";2;8;1;2;5;TRUE
"1887";2;8;2;2;1;TRUE
"1890";2;8;2;2;3;TRUE
"1893";2;8;2;2;8;TRUE
"1896";2;8;2;2;5;TRUE
"1899";2;8;2;2;2;TRUE
"1902";2;8;2;2;7;TRUE
"1919";2;8;3;2;2;TRUE
"1922";2;8;3;2;5;TRUE
"1925";2;8;3;2;3;TRUE
"1928";2;8;3;2;8;TRUE
"1931";2;8;3;2;7;NA
"1934";2;8;3;2;1;TRUE
"1954";2;8;4;2;6;NA
"1957";2;8;4;2;1;TRUE
"1960";2;8;4;2;4;FALSE
"1963";2;8;4;2;5;TRUE
"1966";2;8;4;2;3;FALSE
"1969";2;8;4;2;2;TRUE
"1989";2;8;5;2;6;NA
"1992";2;8;5;2;3;TRUE
"1995";2;8;5;2;2;TRUE
"1998";2;8;5;2;1;TRUE
"2001";2;8;5;2;8;TRUE
"2004";2;8;5;2;4;TRUE
"2021";2;8;6;2;8;NA
"2024";2;8;6;2;1;TRUE
"2027";2;8;6;2;2;TRUE
"2030";2;8;6;2;6;TRUE
"2033";2;8;6;2;4;TRUE
"2036";2;8;6;2;7;TRUE
"2057";2;8;7;2;8;FALSE
"2060";2;8;7;2;3;TRUE
"2063";2;8;7;2;6;FALSE
"2066";2;8;7;2;2;TRUE
"2069";2;8;7;2;1;TRUE
"2072";2;8;7;2;4;FALSE
"2093";2;9;1;1;7;TRUE
"2102";2;9;1;1;6;TRUE
"2105";2;9;1;1;4;NA
"2128";2;9;2;1;1;TRUE
"2131";2;9;2;1;3;FALSE
"2140";2;9;2;1;2;NA
"2143";2;9;2;1;7;NA
"2162";2;9;3;1;2;FALSE
"2168";2;9;3;1;3;TRUE
"2171";2;9;3;1;8;TRUE
"2174";2;9;3;1;7;FALSE
"2177";2;9;3;1;1;TRUE
"2197";2;9;4;1;6;TRUE
"2200";2;9;4;1;1;TRUE
"2203";2;9;4;1;4;NA
"2206";2;9;4;1;5;TRUE
"2209";2;9;4;1;3;TRUE
"2212";2;9;4;1;2;FALSE
"2232";2;9;5;1;6;TRUE
"2235";2;9;5;1;3;TRUE
"2238";2;9;5;1;2;FALSE
"2241";2;9;5;1;1;TRUE
"2244";2;9;5;1;8;TRUE
"2247";2;9;5;1;4;TRUE
"2267";2;9;6;1;8;TRUE
"2270";2;9;6;1;1;TRUE
"2273";2;9;6;1;2;FALSE
"2276";2;9;6;1;6;NA
"2279";2;9;6;1;4;TRUE
"2282";2;9;6;1;7;FALSE
"2300";2;9;7;1;8;FALSE
"2303";2;9;7;1;3;TRUE
"2306";2;9;7;1;6;TRUE
"2309";2;9;7;1;2;TRUE
"2312";2;9;7;1;1;FALSE
"2315";2;9;7;1;4;FALSE
"2336";2;10;1;2;7;NA
"2342";2;10;1;2;1;TRUE
"2345";2;10;1;2;6;FALSE
"2348";2;10;1;2;4;TRUE
"2371";2;10;2;2;1;TRUE
"2374";2;10;2;2;3;TRUE
"2383";2;10;2;2;2;NA
"2386";2;10;2;2;7;NA
"2404";2;10;3;2;2;NA
"2407";2;10;3;2;5;NA
"2410";2;10;3;2;3;TRUE
"2413";2;10;3;2;8;TRUE
"2416";2;10;3;2;7;FALSE
"2419";2;10;3;2;1;TRUE
"2438";2;10;4;2;6;FALSE
"2441";2;10;4;2;1;TRUE
"2444";2;10;4;2;4;TRUE
"2447";2;10;4;2;5;TRUE
"2450";2;10;4;2;3;TRUE
"2453";2;10;4;2;2;TRUE
"2473";2;10;5;2;6;NA
"2476";2;10;5;2;3;TRUE
"2479";2;10;5;2;2;TRUE
"2482";2;10;5;2;1;TRUE
"2485";2;10;5;2;8;TRUE
"2488";2;10;5;2;4;FALSE
"2508";2;10;6;2;8;TRUE
"2511";2;10;6;2;1;TRUE
"2514";2;10;6;2;2;TRUE
"2517";2;10;6;2;6;TRUE
"2520";2;10;6;2;4;TRUE
"2523";2;10;6;2;7;TRUE
"2543";2;10;7;2;8;NA
"2546";2;10;7;2;3;TRUE
"2549";2;10;7;2;6;TRUE
"2552";2;10;7;2;2;TRUE
"2555";2;10;7;2;1;TRUE
"2558";2;10;7;2;4;FALSE
"2577";2;11;1;1;7;NA
"2583";2;11;1;1;1;NA
"2586";2;11;1;1;6;NA
"2589";2;11;1;1;4;NA
"2612";2;11;2;1;1;TRUE
"2615";2;11;2;1;3;TRUE
"2621";2;11;2;1;5;NA
"2624";2;11;2;1;2;NA
"2627";2;11;2;1;7;NA
"2647";2;11;3;1;2;FALSE
"2650";2;11;3;1;5;FALSE
"2653";2;11;3;1;3;TRUE
"2656";2;11;3;1;8;TRUE
"2659";2;11;3;1;7;FALSE
"2662";2;11;3;1;1;NA
"2681";2;11;4;1;6;NA
"2684";2;11;4;1;1;FALSE
"2687";2;11;4;1;4;TRUE
"2690";2;11;4;1;5;FALSE
"2693";2;11;4;1;3;FALSE
"2696";2;11;4;1;2;NA
"2716";2;11;5;1;6;NA
"2719";2;11;5;1;3;TRUE
"2722";2;11;5;1;2;FALSE
"2725";2;11;5;1;1;TRUE
"2728";2;11;5;1;8;NA
"2731";2;11;5;1;4;TRUE
"2751";2;11;6;1;8;TRUE
"2754";2;11;6;1;1;TRUE
"2757";2;11;6;1;2;TRUE
"2760";2;11;6;1;6;TRUE
"2763";2;11;6;1;4;TRUE
"2766";2;11;6;1;7;NA
"2785";2;11;7;1;8;TRUE
"2788";2;11;7;1;3;TRUE
"2791";2;11;7;1;6;TRUE
"2794";2;11;7;1;2;TRUE
"2797";2;11;7;1;1;TRUE
"2800";2;11;7;1;4;FALSE
"2820";2;12;1;2;7;NA
"2826";2;12;1;2;1;FALSE
"2832";2;12;1;2;4;NA
"2855";2;12;2;2;1;NA
"2858";2;12;2;2;3;TRUE
"2867";2;12;2;2;2;TRUE
"2870";2;12;2;2;7;NA
"2890";2;12;3;2;2;TRUE
"2893";2;12;3;2;5;NA
"2896";2;12;3;2;3;FALSE
"2902";2;12;3;2;7;TRUE
"2905";2;12;3;2;1;TRUE
"2925";2;12;4;2;6;TRUE
"2928";2;12;4;2;1;FALSE
"2931";2;12;4;2;4;TRUE
"2934";2;12;4;2;5;FALSE
"2937";2;12;4;2;3;NA
"2940";2;12;4;2;2;NA
"2959";2;12;5;2;6;FALSE
"2962";2;12;5;2;3;FALSE
"2965";2;12;5;2;2;TRUE
"2968";2;12;5;2;1;TRUE
"2971";2;12;5;2;8;TRUE
"2974";2;12;5;2;4;TRUE
"2992";2;12;6;2;8;TRUE
"2995";2;12;6;2;1;TRUE
"2998";2;12;6;2;2;TRUE
"3001";2;12;6;2;6;TRUE
"3004";2;12;6;2;4;TRUE
"3007";2;12;6;2;7;FALSE
"3027";2;12;7;2;8;FALSE
"3030";2;12;7;2;3;FALSE
"3033";2;12;7;2;6;TRUE
"3036";2;12;7;2;2;TRUE
"3039";2;12;7;2;1;FALSE
"3042";2;12;7;2;4;FALSE
"3062";2;13;1;1;7;TRUE
"3068";2;13;1;1;1;TRUE
"3071";2;13;1;1;6;TRUE
"3074";2;13;1;1;4;NA
"3098";2;13;2;1;1;TRUE
"3101";2;13;2;1;3;TRUE
"3104";2;13;2;1;8;TRUE
"3107";2;13;2;1;5;TRUE
"3110";2;13;2;1;2;TRUE
"3113";2;13;2;1;7;NA
"3131";2;13;3;1;2;TRUE
"3134";2;13;3;1;5;TRUE
"3137";2;13;3;1;3;TRUE
"3140";2;13;3;1;8;TRUE
"3143";2;13;3;1;7;FALSE
"3146";2;13;3;1;1;TRUE
"3165";2;13;4;1;6;TRUE
"3168";2;13;4;1;1;TRUE
"3171";2;13;4;1;4;TRUE
"3174";2;13;4;1;5;TRUE
"3177";2;13;4;1;3;TRUE
"3180";2;13;4;1;2;TRUE
"3199";2;13;5;1;6;TRUE
"3202";2;13;5;1;3;TRUE
"3205";2;13;5;1;2;TRUE
"3208";2;13;5;1;1;TRUE
"3211";2;13;5;1;8;TRUE
"3214";2;13;5;1;4;TRUE
"3231";2;13;6;1;8;TRUE
"3234";2;13;6;1;1;TRUE
"3237";2;13;6;1;2;TRUE
"3240";2;13;6;1;6;TRUE
"3243";2;13;6;1;4;TRUE
"3246";2;13;6;1;7;TRUE
"3264";2;13;7;1;8;TRUE
"3267";2;13;7;1;3;TRUE
"3270";2;13;7;1;6;TRUE
"3273";2;13;7;1;2;TRUE
"3276";2;13;7;1;1;TRUE
"3279";2;13;7;1;4;FALSE
"3298";2;14;1;2;7;TRUE
"3307";2;14;1;2;6;NA
"3331";2;14;2;2;1;FALSE
"3334";2;14;2;2;3;FALSE
"3343";2;14;2;2;2;TRUE
"3346";2;14;2;2;7;TRUE
"3367";2;14;3;2;2;FALSE
"3370";2;14;3;2;5;FALSE
"3373";2;14;3;2;3;TRUE
"3376";2;14;3;2;8;FALSE
"3379";2;14;3;2;7;TRUE
"3382";2;14;3;2;1;TRUE
"3401";2;14;4;2;6;TRUE
"3404";2;14;4;2;1;FALSE
"3407";2;14;4;2;4;FALSE
"3410";2;14;4;2;5;FALSE
"3413";2;14;4;2;3;FALSE
"3416";2;14;4;2;2;TRUE
"3435";2;14;5;2;6;TRUE
"3438";2;14;5;2;3;TRUE
"3441";2;14;5;2;2;FALSE
"3444";2;14;5;2;1;TRUE
"3447";2;14;5;2;8;TRUE
"3450";2;14;5;2;4;NA
"3469";2;14;6;2;8;TRUE
"3472";2;14;6;2;1;FALSE
"3475";2;14;6;2;2;FALSE
"3478";2;14;6;2;6;TRUE
"3481";2;14;6;2;4;TRUE
"3484";2;14;6;2;7;TRUE
"3501";2;14;7;2;8;TRUE
"3504";2;14;7;2;3;TRUE
"3507";2;14;7;2;6;TRUE
"3510";2;14;7;2;2;TRUE
"3513";2;14;7;2;1;FALSE
"3516";2;14;7;2;4;FALSE
"3735";3;1;1;2;6;TRUE
"3741";3;1;1;2;1;FALSE
"3762";3;1;2;2;1;TRUE
"3765";3;1;2;2;3;TRUE
"3768";3;1;2;2;5;TRUE
"3771";3;1;2;2;2;TRUE
"3792";3;1;3;2;8;FALSE
"3795";3;1;3;2;6;NA
"3798";3;1;3;2;1;FALSE
"3801";3;1;3;2;2;FALSE
"3804";3;1;3;2;4;TRUE
"3827";3;1;4;2;5;TRUE
"3830";3;1;4;2;6;FALSE
"3833";3;1;4;2;8;FALSE
"3836";3;1;4;2;3;TRUE
"3839";3;1;4;2;2;TRUE
"3842";3;1;4;2;1;TRUE
"3861";3;1;5;2;1;FALSE
"3864";3;1;5;2;8;TRUE
"3867";3;1;5;2;4;FALSE
"3870";3;1;5;2;7;TRUE
"3873";3;1;5;2;3;TRUE
"3876";3;1;5;2;6;NA
"3895";3;1;6;2;1;TRUE
"3898";3;1;6;2;3;FALSE
"3901";3;1;6;2;5;NA
"3904";3;1;6;2;2;TRUE
"3907";3;1;6;2;6;TRUE
"3910";3;1;6;2;4;TRUE
"3926";3;1;7;2;5;TRUE
"3929";3;1;7;2;4;TRUE
"3932";3;1;7;2;1;FALSE
"3935";3;1;7;2;6;FALSE
"3938";3;1;7;2;3;NA
"3941";3;1;7;2;8;TRUE
"3970";3;2;1;1;4;TRUE
"3976";3;2;1;1;3;FALSE
"3979";3;2;1;1;1;FALSE
"3999";3;2;2;1;1;NA
"4002";3;2;2;1;3;FALSE
"4005";3;2;2;1;5;FALSE
"4008";3;2;2;1;2;TRUE
"4030";3;2;3;1;8;FALSE
"4036";3;2;3;1;1;TRUE
"4039";3;2;3;1;2;FALSE
"4042";3;2;3;1;4;TRUE
"4065";3;2;4;1;5;TRUE
"4071";3;2;4;1;8;FALSE
"4074";3;2;4;1;3;TRUE
"4077";3;2;4;1;2;TRUE
"4080";3;2;4;1;1;FALSE
"4101";3;2;5;1;1;TRUE
"4104";3;2;5;1;8;TRUE
"4107";3;2;5;1;4;FALSE
"4113";3;2;5;1;3;TRUE
"4137";3;2;6;1;1;TRUE
"4140";3;2;6;1;3;TRUE
"4143";3;2;6;1;5;TRUE
"4146";3;2;6;1;2;FALSE
"4149";3;2;6;1;6;FALSE
"4152";3;2;6;1;4;FALSE
"4174";3;2;7;1;5;FALSE
"4177";3;2;7;1;4;TRUE
"4180";3;2;7;1;1;TRUE
"4183";3;2;7;1;6;FALSE
"4186";3;2;7;1;3;TRUE
"4189";3;2;7;1;8;TRUE
"4216";3;3;1;2;4;TRUE
"4222";3;3;1;2;3;FALSE
"4225";3;3;1;2;1;TRUE
"4247";3;3;2;2;7;TRUE
"4250";3;3;2;2;1;TRUE
"4253";3;3;2;2;3;TRUE
"4256";3;3;2;2;5;NA
"4259";3;3;2;2;2;FALSE
"4281";3;3;3;2;8;FALSE
"4284";3;3;3;2;6;TRUE
"4287";3;3;3;2;1;TRUE
"4290";3;3;3;2;2;FALSE
"4293";3;3;3;2;4;TRUE
"4296";3;3;3;2;7;FALSE
"4313";3;3;4;2;5;TRUE
"4316";3;3;4;2;6;FALSE
"4319";3;3;4;2;8;FALSE
"4322";3;3;4;2;3;TRUE
"4325";3;3;4;2;2;TRUE
"4328";3;3;4;2;1;FALSE
"4349";3;3;5;2;1;FALSE
"4352";3;3;5;2;8;TRUE
"4355";3;3;5;2;4;TRUE
"4358";3;3;5;2;7;TRUE
"4361";3;3;5;2;3;TRUE
"4364";3;3;5;2;6;FALSE
"4384";3;3;6;2;1;TRUE
"4387";3;3;6;2;3;TRUE
"4390";3;3;6;2;5;TRUE
"4393";3;3;6;2;2;FALSE
"4396";3;3;6;2;6;FALSE
"4399";3;3;6;2;4;TRUE
"4420";3;3;7;2;5;FALSE
"4423";3;3;7;2;4;TRUE
"4426";3;3;7;2;1;TRUE
"4429";3;3;7;2;6;FALSE
"4432";3;3;7;2;3;TRUE
"4435";3;3;7;2;8;TRUE
"4459";3;4;1;1;7;FALSE
"4468";3;4;1;1;3;FALSE
"4471";3;4;1;1;1;TRUE
"4492";3;4;2;1;7;TRUE
"4495";3;4;2;1;1;FALSE
"4498";3;4;2;1;3;FALSE
"4504";3;4;2;1;2;TRUE
"4527";3;4;3;1;8;TRUE
"4533";3;4;3;1;1;TRUE
"4536";3;4;3;1;2;TRUE
"4539";3;4;3;1;4;TRUE
"4542";3;4;3;1;7;TRUE
"4562";3;4;4;1;5;TRUE
"4565";3;4;4;1;6;FALSE
"4568";3;4;4;1;8;FALSE
"4571";3;4;4;1;3;TRUE
"4574";3;4;4;1;2;TRUE
"4577";3;4;4;1;1;TRUE
"4598";3;4;5;1;1;TRUE
"4601";3;4;5;1;8;TRUE
"4604";3;4;5;1;4;FALSE
"4607";3;4;5;1;7;TRUE
"4610";3;4;5;1;3;TRUE
"4613";3;4;5;1;6;FALSE
"4632";3;4;6;1;1;TRUE
"4635";3;4;6;1;3;TRUE
"4638";3;4;6;1;5;TRUE
"4641";3;4;6;1;2;TRUE
"4644";3;4;6;1;6;TRUE
"4647";3;4;6;1;4;FALSE
"4663";3;4;7;1;5;FALSE
"4666";3;4;7;1;4;TRUE
"4669";3;4;7;1;1;TRUE
"4672";3;4;7;1;6;TRUE
"4675";3;4;7;1;3;FALSE
"4678";3;4;7;1;8;FALSE
"4699";3;5;1;2;8;TRUE
"4702";3;5;1;2;7;TRUE
"4708";3;5;1;2;6;FALSE
"4714";3;5;1;2;1;TRUE
"4735";3;5;2;2;7;TRUE
"4738";3;5;2;2;1;TRUE
"4741";3;5;2;2;3;FALSE
"4744";3;5;2;2;5;FALSE
"4747";3;5;2;2;2;TRUE
"4750";3;5;2;2;8;FALSE
"4769";3;5;3;2;8;FALSE
"4772";3;5;3;2;6;TRUE
"4775";3;5;3;2;1;TRUE
"4778";3;5;3;2;2;FALSE
"4784";3;5;3;2;7;TRUE
"4804";3;5;4;2;5;TRUE
"4807";3;5;4;2;6;TRUE
"4810";3;5;4;2;8;TRUE
"4813";3;5;4;2;3;TRUE
"4816";3;5;4;2;2;TRUE
"4819";3;5;4;2;1;FALSE
"4835";3;5;5;2;1;FALSE
"4838";3;5;5;2;8;TRUE
"4841";3;5;5;2;4;NA
"4844";3;5;5;2;7;TRUE
"4847";3;5;5;2;3;TRUE
"4850";3;5;5;2;6;TRUE
"4870";3;5;6;2;1;TRUE
"4873";3;5;6;2;3;TRUE
"4876";3;5;6;2;5;TRUE
"4879";3;5;6;2;2;FALSE
"4882";3;5;6;2;6;FALSE
"4885";3;5;6;2;4;FALSE
"4906";3;5;7;2;5;FALSE
"4909";3;5;7;2;4;TRUE
"4912";3;5;7;2;1;TRUE
"4915";3;5;7;2;6;TRUE
"4918";3;5;7;2;3;FALSE
"4921";3;5;7;2;8;TRUE
"4954";3;6;1;1;3;FALSE
"4957";3;6;1;1;1;TRUE
"4979";3;6;2;1;1;TRUE
"4982";3;6;2;1;3;TRUE
"4988";3;6;2;1;2;TRUE
"5009";3;6;3;1;8;FALSE
"5015";3;6;3;1;1;TRUE
"5018";3;6;3;1;2;TRUE
"5021";3;6;3;1;4;TRUE
"5044";3;6;4;1;5;TRUE
"5050";3;6;4;1;8;TRUE
"5053";3;6;4;1;3;TRUE
"5056";3;6;4;1;2;TRUE
"5059";3;6;4;1;1;TRUE
"5078";3;6;5;1;1;FALSE
"5081";3;6;5;1;8;TRUE
"5084";3;6;5;1;4;TRUE
"5087";3;6;5;1;7;TRUE
"5090";3;6;5;1;3;TRUE
"5112";3;6;6;1;1;TRUE
"5115";3;6;6;1;3;TRUE
"5118";3;6;6;1;5;TRUE
"5121";3;6;6;1;2;TRUE
"5124";3;6;6;1;6;TRUE
"5127";3;6;6;1;4;TRUE
"5145";3;6;7;1;5;TRUE
"5148";3;6;7;1;4;TRUE
"5151";3;6;7;1;1;TRUE
"5154";3;6;7;1;6;TRUE
"5157";3;6;7;1;3;TRUE
"5160";3;6;7;1;8;TRUE
"5179";3;7;1;2;8;TRUE
"5182";3;7;1;2;7;FALSE
"5185";3;7;1;2;4;TRUE
"5188";3;7;1;2;6;FALSE
"5191";3;7;1;2;3;FALSE
"5194";3;7;1;2;1;FALSE
"5340";3;7;1;2;8;TRUE
"5343";3;7;1;2;7;TRUE
"5346";3;7;1;2;4;TRUE
"5349";3;7;1;2;6;FALSE
"5352";3;7;1;2;3;FALSE
